date,value
1952-01-16,179.3900
1952-01-17,180.4500
1952-01-18,177.1900
1952-01-21,180.9600
1952-01-22,180.2200
1952-01-23,183.1600
1952-01-24,183.0100
1952-01-25,184.2700
1952-01-28,188.6800
1952-01-29,186.3600
1952-01-30,187.4500
1952-01-31,188.9600
1952-02-01,190.7700
1952-02-04,191.7000
1952-02-05,189.8700
1952-02-06,190.6400
1952-02-07,193.2900
1952-02-08,192.2000
1952-02-11,189.7100
1952-02-12,189.9300
1952-02-13,191.8300
1952-02-14,190.7300
1952-02-15,187.8100
1952-02-18,187.7000
1952-02-19,189.0400
1952-02-20,190.0600
1952-02-21,189.2300
1952-02-22,185.8000
1952-02-25,184.6800
1952-02-26,183.9000
1952-02-27,180.7700
1952-02-28,180.3000
1952-02-29,181.4000
1952-03-03,184.2300
1952-03-04,185.3800
1952-03-05,184.2700
1952-03-06,185.8100
1952-03-07,187.2300
1952-03-10,187.9800
1952-03-11,188.5000
1952-03-12,188.2600
1952-03-13,186.5200
1952-03-14,186.0200
1952-03-17,185.1800
1952-03-18,183.2500
1952-03-19,180.6500
1952-03-20,182.1000
1952-03-24,180.5000
1952-03-25,179.9200
1952-03-26,179.9100
1952-03-27,181.4800
1952-03-28,176.2300
1952-03-31,175.5100
1952-04-01,175.9900
1952-04-02,177.3600
1952-04-03,179.4100
1952-04-04,181.5100
1952-04-07,182.2800
1952-04-08,182.8000
1952-04-09,184.5900
1952-04-10,184.8100
1952-04-11,185.1200
1952-04-14,185.9400
1952-04-15,188.5000
1952-04-16,192.9100
1952-04-17,195.0500
1952-04-18,197.8800
1952-04-21,199.6600
1952-04-22,200.2600
1952-04-23,201.0900
1952-04-24,203.0500
1952-04-25,206.2000
1952-04-28,202.5400
1952-04-30,202.7200
1952-05-01,204.4100
1952-05-02,207.8600
1952-05-06,207.9800
1952-05-07,209.1100
1952-05-08,207.7400
1952-05-09,208.5300
1952-05-12,208.1300
1952-05-13,206.7200
1952-05-14,207.5600
1952-05-15,207.2900
1952-05-16,206.5600
1952-05-19,204.8500
1952-05-20,205.9900
1952-05-21,209.3000
1952-05-22,210.6000
1952-05-23,213.1100
1952-05-26,214.9600
1952-05-27,216.5800
1952-05-28,220.7700
1952-05-29,222.7500
1952-05-30,222.5400
1952-06-02,228.4100
1952-06-03,225.9800
1952-06-04,224.0000
1952-06-05,227.0100
1952-06-06,225.1000
1952-06-09,228.7300
1952-06-10,232.8800
1952-06-11,233.0000
1952-06-12,239.0800
1952-06-13,238.2000
1952-06-16,240.9600
1952-06-17,238.9200
1952-06-18,234.5700
1952-06-19,239.0700
1952-06-20,240.2200
1952-06-23,234.3300
1952-06-24,237.1200
1952-06-25,238.3700
1952-06-26,241.1000
1952-06-27,242.5800
1952-06-30,246.1500
1952-07-01,249.8600
1952-07-02,251.3000
1952-07-03,254.7000
1952-07-04,255.1700
1952-07-07,259.5900
1952-07-08,259.4500
1952-07-09,262.5600
1952-07-10,262.7100
1952-07-11,263.0400
1952-07-14,256.6400
1952-07-15,257.5700
1952-07-16,257.6200
1952-07-17,248.4800
1952-07-18,238.8000
1952-07-21,247.8100
1952-07-22,245.6100
1952-07-23,246.4300
1952-07-24,245.3700
1952-07-25,246.6500
1952-07-28,246.9200
1952-07-29,249.2500
1952-07-30,250.2400
1952-07-31,253.2100
1952-08-01,253.7400
1952-08-04,256.9800
1952-08-05,255.4000
1952-08-06,258.3700
1952-08-07,258.7300
1952-08-08,261.6400
1952-08-11,262.5700
1952-08-12,262.6300
1952-08-13,260.8900
1952-08-14,259.7000
1952-08-15,259.6700
1952-08-18,260.0700
1952-08-19,258.8500
1952-08-20,258.3100
1952-08-21,260.0400
1952-08-22,258.4100
1952-08-25,250.4800
1952-08-26,251.6500
1952-08-27,252.9200
1952-08-28,256.9100
1952-08-29,254.0200
1952-09-01,254.3800
1952-09-02,255.8500
1952-09-03,255.9900
1952-09-04,255.8800
1952-09-05,257.8400
1952-09-08,255.9700
1952-09-09,256.7000
1952-09-10,256.4600
1952-09-11,256.2200
1952-09-12,258.3500
1952-09-15,258.6000
1952-09-16,259.1900
1952-09-17,258.7400
1952-09-18,260.1700
1952-09-19,260.1200
1952-09-22,263.6300
1952-09-24,260.9600
1952-09-25,260.0300
1952-09-26,264.4700
1952-09-29,265.9700
1952-09-30,268.9000
1952-10-01,271.4900
1952-10-02,271.9100
1952-10-03,270.3300
1952-10-06,275.7000
1952-10-07,280.3300
1952-10-08,283.2900
1952-10-09,287.5800
1952-10-10,287.6600
1952-10-13,289.9900
1952-10-14,288.4100
1952-10-15,294.2900
1952-10-16,297.5400
1952-10-17,302.7300
1952-10-20,305.7300
1952-10-21,301.7600
1952-10-22,307.4500
1952-10-23,311.1400
1952-10-24,313.2100
1952-10-27,321.3900
1952-10-28,318.1100
1952-10-29,320.2000
1952-10-30,317.6100
1952-10-31,313.2300
1952-11-04,321.2300
1952-11-05,323.2100
1952-11-06,321.6000
1952-11-07,322.8000
1952-11-10,326.4800
1952-11-11,329.4200
1952-11-12,334.5400
1952-11-13,333.2300
1952-11-14,332.8200
1952-11-17,333.4800
1952-11-18,335.5200
1952-11-19,341.1900
1952-11-20,344.7600
1952-11-21,349.1100
1952-11-24,352.0900
1952-11-25,349.8000
1952-11-26,343.1600
1952-11-27,350.0600
1952-11-28,351.4500
1952-12-01,348.9500
1952-12-02,347.1900
1952-12-03,343.7200
1952-12-04,340.3300
1952-12-05,343.6000
1952-12-08,352.6800
1952-12-09,353.8100
1952-12-10,355.7800
1952-12-11,358.1300
1952-12-12,363.2900
1952-12-15,370.5500
1952-12-16,363.8100
1952-12-17,364.8500
1952-12-18,363.7700
1952-12-19,362.0500
1952-12-22,356.3700
1952-12-23,354.3100
1952-12-24,355.2800
1952-12-25,363.5200
1952-12-26,363.9100
1953-01-05,364.8900
1953-01-06,367.3800
1953-01-07,369.6600
1953-01-08,378.8400
1953-01-09,379.2300
1953-01-12,392.3400
1953-01-13,400.9500
1953-01-14,405.7400
1953-01-16,410.2800
1953-01-19,424.9600
1953-01-20,421.9200
1953-01-21,423.7700
1953-01-22,429.6600
1953-01-23,439.5700
1953-01-26,445.3800
1953-01-27,435.2800
1953-01-28,439.8700
1953-01-29,446.5900
1953-01-30,452.0400
1953-02-02,455.9700
1953-02-03,467.9200
1953-02-04,474.4300
1953-02-05,471.7400
1953-02-06,466.4300
1953-02-10,461.8800
1953-02-11,443.1300
1953-02-12,425.9200
1953-02-13,409.4200
1953-02-16,426.5900
1953-02-17,433.8600
1953-02-18,426.4000
1953-02-19,418.2000
1953-02-20,421.1200
1953-02-23,426.0000
1953-02-24,419.1100
1953-02-25,415.4900
1953-02-26,411.0600
1953-02-27,400.1100
1953-03-02,393.1400
1953-03-03,384.9500
1953-03-04,378.2200
1953-03-05,340.4100
1953-03-06,361.8800
1953-03-09,374.1400
1953-03-10,375.0500
1953-03-11,371.3600
1953-03-12,367.4400
1953-03-13,369.4700
1953-03-16,355.2900
1953-03-17,355.5000
1953-03-18,357.7800
1953-03-19,365.4100
1953-03-20,370.1400
1953-03-23,366.8200
1953-03-24,361.0000
1953-03-25,352.3500
1953-03-26,350.3300
1953-03-27,348.4300
1953-03-30,318.9600
1953-03-31,307.0500
1953-04-01,295.1800
1953-04-02,304.0200
1953-04-03,314.5200
1953-04-06,317.6000
